V1;V2
12.13;8.97
12.14;8.98
12.15;8.99
12.16;9
12.16;9.01
12.16;9.03
12.16;9.03
12.16;9.05
12.16;9.06
12.14;9.08
12.12;9.08
12.1;9.09
12.07;9.1
12.04;9.11
12;9.11
11.96;9.11
11.92;9.12
11.87;9.12
11.82;9.12
11.78;9.11
11.72;9.1
11.66;9.1
11.61;9.1
11.55;9.08
11.49;9.07
11.44;9.06
11.39;9.05
11.35;9.03
11.31;9.02
11.28;9
11.25;8.99
11.23;8.97
11.21;8.95
11.2;8.94
11.19;8.93
11.18;8.92
11.18;8.9
11.18;8.89
11.18;8.88
11.19;8.88
11.19;8.87
11.21;8.86
11.22;8.86
11.22;8.85
11.23;8.85
11.23;8.85
11.24;8.85
11.24;8.85
11.23;8.85
11.22;8.86
11.21;8.86
11.19;8.86
11.16;8.86
11.14;8.86
11.11;8.86
11.07;8.86
11.03;8.86
10.99;8.85
10.95;8.84
10.91;8.84
10.85;8.83
10.8;8.83
10.76;8.81
10.71;8.8
10.66;8.79
10.61;8.77
10.57;8.75
10.54;8.74
10.51;8.72
10.48;8.7
10.46;8.69
10.45;8.67
10.44;8.65
10.44;8.64
10.44;8.63
10.44;8.61
10.45;8.6
10.46;8.59
10.48;8.58
10.49;8.58
10.51;8.57
10.53;8.56
10.54;8.56
10.56;8.56
10.58;8.57
10.6;8.57
10.6;8.57
10.62;8.57
10.62;8.58
10.62;8.58
10.61;8.59
10.6;8.59
10.59;8.59
10.57;8.6
10.54;8.6
10.51;8.6
10.48;8.6
10.45;8.6
10.42;8.59
10.37;8.59
10.34;8.58
10.29;8.58
10.25;8.56
10.21;8.55
10.17;8.54
10.12;8.53
10.09;8.52
10.06;8.5
10.03;8.49
10.02;8.47
10.01;8.46
10;8.44
10;8.43
10;8.41
10.01;8.41
10.01;8.39
10.03;8.39
10.04;8.38
10.06;8.38
10.08;8.37
10.1;8.37
10.13;8.36
10.15;8.37
10.17;8.37
10.2;8.37
10.22;8.37
10.24;8.38
10.25;8.38
10.26;8.39
10.26;8.4
10.26;8.4
10.25;8.41
10.24;8.41
10.23;8.42
10.21;8.42
10.19;8.42
10.16;8.42
10.13;8.42
10.1;8.42
10.06;8.42
10.02;8.42
9.99;8.41
9.94;8.4
9.9;8.4
9.87;8.38
9.83;8.37
9.8;8.36
9.77;8.35
9.75;8.33
9.74;8.32
9.73;8.3
9.72;8.29
9.73;8.28
9.73;8.27
9.74;8.26
9.75;8.25
9.77;8.24
9.79;8.24
9.81;8.23
9.83;8.23
9.85;8.23
9.89;8.23
9.91;8.23
9.94;8.24
9.96;8.24
9.98;8.24
10;8.25
10.02;8.26
10.03;8.26
10.04;8.27
10.04;8.28
10.03;8.29
10.03;8.29
10.01;8.3
10;8.31
9.97;8.31
9.95;8.31
9.92;8.31
9.89;8.31
9.86;8.31
9.82;8.31
9.78;8.3
9.74;8.29
9.71;8.29
9.67;8.27
9.64;8.27
9.6;8.25
9.58;8.24
9.56;8.23
9.55;8.21
9.54;8.2
9.54;8.19
9.54;8.17
9.55;8.17
9.56;8.16
9.58;8.15
9.59;8.14
9.61;8.14
9.63;8.13
9.66;8.13
